LeftPupilDiameter,RightPupilDiameter,EyeDirection_x,EyeDirection_y,EyeDirection_z,EyePosition_x,EyePosition_y,EyePosition_z,GazeTarget,IsFixation,IsSaccade,IsBlink
1.0765432109876543,0.8567891234567890,0.002,-0.128,0.992,0.18712,-0.12688,-0.74256,0.0,0,0,1
1.0765432109876543,1.1234567890123456,0.002,-0.133,0.991,0.18664,-0.12435,-0.73656,0.0,0,0,1
1.0765432109876543,1.1234567890123456,0.002,-0.139,0.991,0.18616,-0.12171,-0.72972,0.0,0,0,1
1.0765432109876543,0.8567891234567890,0.003,-0.146,0.989,0.18567999999999998,-0.11884,-0.722,0.0,0,0,1
1.3456789012345679,0.8567891234567890,0.003,-0.155,0.988,0.18508,-0.11584,-0.7131599999999999,0.0,0,0,1
1.3456789012345679,1.1234567890123456,0.045,0.151,0.989,0.18447999999999998,-0.11308,-0.7042799999999999,1.0,0,1,0
1.0765432109876543,1.1234567890123456,0.051,0.147,0.989,0.18388,-0.10996,-0.6947599999999999,1.0,0,1,0
1.0765432109876543,1.1234567890123456,0.051,0.145,0.990,0.18352,-0.10708,-0.68524,1.0,1,0,0
1.0765432109876543,0.8567891234567890,0.048,0.143,0.990,0.18303999999999998,-0.10395999999999999,-0.67671999999999999,1.0,1,0,0
1.0765432109876543,0.8567891234567890,0.047,0.141,0.991,0.18248,-0.10083999999999999,-0.6682,1.0,1,0,0
1.3456789012345679,1.1234567890123456,0.045,0.139,0.991,0.18192,-0.09772,-0.65968,1.0,1,0,0
